Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1659288508,6,,Aggregated,1.600000,0.000000,3,3,4,4,5,8,8,8,8,8,8,13,0,3,3.4960538461538726,2.215800000000101,8.032700000000004,843.4615384615385
1659288509,6,GET,/,0.500000,0.000000,2,2,8,8,8,8,8,8,8,8,8,4,0,2.215800000000101,3.765025000000144,2.215800000000101,8.032700000000004,462.0
1659288509,6,GET,/book/Spring%20Festival/Simply%20Lift,0.500000,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,2.95000000000023,2.7914499999999176,2.520099999999914,2.95000000000023,1252.0
1659288509,6,GET,/logout,0.333333,0.000000,4,4,5,5,5,5,5,5,5,5,5,3,0,4.155499999999535,4.412333333333092,4.155499999999535,4.814200000000213,462.0
1659288509,6,POST,/purchasePlaces,0.333333,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,3,2.7754750000000827,2.5959999999995986,3.0236999999999625,1325.0
1659288509,6,,Aggregated,1.666667,0.000000,3,3,4,4,5,8,8,8,8,8,8,15,0,3,3.3709866666666572,2.215800000000101,8.032700000000004,902.8
1659288510,6,GET,/,0.428571,0.000000,2,2,2,8,8,8,8,8,8,8,8,5,0,2.215800000000101,3.4785000000001616,2.215800000000101,8.032700000000004,462.0
1659288510,6,GET,/book/Spring%20Festival/Simply%20Lift,0.428571,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,2.95000000000023,2.7914499999999176,2.520099999999914,2.95000000000023,1252.0
1659288510,6,GET,/logout,0.285714,0.000000,4,4,5,5,5,5,5,5,5,5,5,4,0,4.077500000001066,4.328625000000086,4.077500000001066,4.814200000000213,462.0
1659288510,6,POST,/purchasePlaces,0.285714,0.000000,3,3,3,3,3,3,3,3,3,3,3,4,0,3,2.7754750000000827,2.5959999999995986,3.0236999999999625,1325.0
1659288510,6,POST,/showSummary,0.000000,0.000000,2,2,2,2,2,2,2,2,2,2,2,1,0,2.43699999999869,2.43699999999869,2.43699999999869,2.43699999999869,1135.0
1659288510,6,,Aggregated,1.428571,0.000000,3,3,4,4,5,8,8,8,8,8,8,18,0,3,3.3006499999999916,2.215800000000101,8.032700000000004,866.7222222222222
1659288511,6,GET,/,0.500000,0.000000,2,2,2,2,8,8,8,8,8,8,8,6,0,2,3.206600000000281,1.8471000000008786,8.032700000000004,462.0
1659288511,6,GET,/book/Spring%20Festival/Simply%20Lift,0.375000,0.000000,3,3,3,3,3,3,3,3,3,3,3,5,0,2.95000000000023,2.6562600000000103,2.115500000000381,2.95000000000023,1252.0
1659288511,6,GET,/logout,0.375000,0.000000,4,4,5,5,5,5,5,5,5,5,5,4,0,4.077500000001066,4.328625000000086,4.077500000001066,4.814200000000213,462.0
